username,retweet_count,favorite_count,month,day,hour
SebasGalmarini,22,15,4,2,20
SebasGalmarini,11,17,4,2,21
SebasGalmarini,14,9,4,2,22
SebasGalmarini,0,0,4,2,23
SebasGalmarini,0,0,5,2,0
SebasGalmarini,0,0,5,2,1
SebasGalmarini,0,0,5,2,2
SebasGalmarini,0,0,5,2,3
SebasGalmarini,0,0,5,2,4
SebasGalmarini,0,0,5,2,5
SebasGalmarini,209,198,5,2,6
SebasGalmarini,98,104,5,2,7
SebasGalmarini,0,0,5,2,8
SebasGalmarini,33,64,5,2,9
SebasGalmarini,0,0,5,2,10
SebasGalmarini,122,98,5,2,11
SebasGalmarini,0,0,5,2,12
SebasGalmarini,0,0,5,2,13
SebasGalmarini,0,0,5,2,14
SebasGalmarini,0,0,5,2,15
SebasGalmarini,68,50,5,2,16
SebasGalmarini,0,0,5,2,17
SebasGalmarini,0,0,5,2,18
SebasGalmarini,521,541,5,2,19
SebasGalmarini,0,0,5,2,20
SebasGalmarini,71,64,5,2,21
SebasGalmarini,0,0,5,2,22
SebasGalmarini,23,22,5,2,23
SebasGalmarini,0,0,6,2,0
SebasGalmarini,0,0,6,2,1
SebasGalmarini,0,0,6,2,2
SebasGalmarini,0,0,6,2,3
SebasGalmarini,31,41,6,2,4
SebasGalmarini,0,0,6,2,5
SebasGalmarini,0,0,6,2,6
SebasGalmarini,0,0,6,2,7
SebasGalmarini,64,69,6,2,8
SebasGalmarini,0,0,6,2,9
SebasGalmarini,93,105,6,2,10
SebasGalmarini,85,78,6,2,11
SebasGalmarini,48,42,6,2,12
SebasGalmarini,106,89,6,2,13
SebasGalmarini,0,0,6,2,14
SebasGalmarini,0,0,6,2,15
SebasGalmarini,17,20,6,2,16
SebasGalmarini,0,0,6,2,17
SebasGalmarini,22,29,6,2,18
SebasGalmarini,40,25,6,2,19
SebasGalmarini,15,34,6,2,20
SebasGalmarini,8,10,6,2,21
SebasGalmarini,0,0,6,2,22
SebasGalmarini,0,0,6,2,23
SebasGalmarini,0,0,7,2,0
SebasGalmarini,0,0,7,2,1
SebasGalmarini,0,0,7,2,2
SebasGalmarini,0,0,7,2,3
SebasGalmarini,0,0,7,2,4
SebasGalmarini,42,68,7,2,5
SebasGalmarini,19,43,7,2,6
SebasGalmarini,12,14,7,2,7
SebasGalmarini,0,0,7,2,8
SebasGalmarini,66,88,7,2,9
SebasGalmarini,0,0,7,2,10
SebasGalmarini,0,0,7,2,11
SebasGalmarini,0,0,7,2,12
SebasGalmarini,0,0,7,2,13
SebasGalmarini,0,0,7,2,14
SebasGalmarini,0,0,7,2,15
SebasGalmarini,108,135,7,2,16
SebasGalmarini,31,38,7,2,17
SebasGalmarini,0,0,7,2,18
SebasGalmarini,12,26,7,2,19
SebasGalmarini,0,0,7,2,20
SebasGalmarini,6,13,7,2,21
SebasGalmarini,0,0,7,2,22
SebasGalmarini,0,0,7,2,23
SebasGalmarini,0,0,8,2,0
SebasGalmarini,0,0,8,2,1
SebasGalmarini,0,0,8,2,2
SebasGalmarini,0,0,8,2,3
SebasGalmarini,0,0,8,2,4
SebasGalmarini,0,0,8,2,5
SebasGalmarini,15,17,8,2,6
SebasGalmarini,0,0,8,2,7
SebasGalmarini,3,25,8,2,8
SebasGalmarini,41,62,8,2,9
SebasGalmarini,24,41,8,2,10
SebasGalmarini,103,89,8,2,11
SebasGalmarini,275,270,8,2,12
SebasGalmarini,0,0,8,2,13
SebasGalmarini,64,81,8,2,14
SebasGalmarini,11,28,8,2,15
SebasGalmarini,0,0,8,2,16
SebasGalmarini,135,158,8,2,17
SebasGalmarini,570,666,8,2,18
SebasGalmarini,340,144,8,2,19
SebasGalmarini,24,41,8,2,20
SebasGalmarini,0,0,8,2,21
SebasGalmarini,0,0,8,2,22
SebasGalmarini,0,0,8,2,23
SebasGalmarini,0,0,9,2,0
SebasGalmarini,0,0,9,2,1
SebasGalmarini,0,0,9,2,2
SebasGalmarini,0,0,9,2,3
SebasGalmarini,0,0,9,2,4
SebasGalmarini,0,0,9,2,5
SebasGalmarini,117,112,9,2,6
SebasGalmarini,57,41,9,2,7
SebasGalmarini,21,53,9,2,8
SebasGalmarini,0,0,9,2,9
SebasGalmarini,0,0,9,2,10
SebasGalmarini,85,102,9,2,11
SebasGalmarini,0,0,9,2,12
SebasGalmarini,0,0,9,2,13
SebasGalmarini,0,0,9,2,14
SebasGalmarini,69,87,9,2,15
SebasGalmarini,0,0,9,2,16
SebasGalmarini,0,0,9,2,17
SebasGalmarini,192,266,9,2,18
SebasGalmarini,172,252,9,2,19
SebasGalmarini,65,85,9,2,20
SebasGalmarini,0,0,9,2,21
SebasGalmarini,0,0,9,2,22
SebasGalmarini,0,0,9,2,23
SebasGalmarini,0,0,10,2,0
SebasGalmarini,0,0,10,2,1
SebasGalmarini,0,0,10,2,2
SebasGalmarini,0,0,10,2,3
SebasGalmarini,0,0,10,2,4
SebasGalmarini,0,0,10,2,5
SebasGalmarini,0,0,10,2,6
SebasGalmarini,0,0,10,2,7
SebasGalmarini,0,0,10,2,8
SebasGalmarini,0,0,10,2,9
SebasGalmarini,12,23,10,2,10
SebasGalmarini,90,114,10,2,11
SebasGalmarini,0,0,10,2,12
SebasGalmarini,333,316,10,2,13
SebasGalmarini,659,587,10,2,14
SebasGalmarini,125,275,10,2,15
SebasGalmarini,0,0,10,2,16
SebasGalmarini,0,0,10,2,17
SebasGalmarini,0,0,10,2,18
SebasGalmarini,0,0,10,2,19
SebasGalmarini,0,0,10,2,20
SebasGalmarini,0,0,10,2,21
SebasGalmarini,8,16,10,2,22
SebasGalmarini,0,0,10,2,23
SebasGalmarini,0,0,11,2,0
SebasGalmarini,0,0,11,2,1
SebasGalmarini,0,0,11,2,2
SebasGalmarini,0,0,11,2,3
SebasGalmarini,0,0,11,2,4
SebasGalmarini,21,43,11,2,5
SebasGalmarini,46,42,11,2,6
SebasGalmarini,0,0,11,2,7
SebasGalmarini,0,0,11,2,8
SebasGalmarini,0,0,11,2,9
SebasGalmarini,0,0,11,2,10
SebasGalmarini,0,0,11,2,11
SebasGalmarini,14,16,11,2,12
SebasGalmarini,18,25,11,2,13
SebasGalmarini,0,0,11,2,14
SebasGalmarini,0,0,11,2,15
SebasGalmarini,73,92,11,2,16
SebasGalmarini,0,0,11,2,17
SebasGalmarini,23,36,11,2,18
SebasGalmarini,0,0,11,2,19
SebasGalmarini,0,3,11,2,20
SebasGalmarini,0,0,11,2,21
SebasGalmarini,0,0,11,2,22
SebasGalmarini,0,0,11,2,23
SebasGalmarini,0,0,12,2,0
SebasGalmarini,0,0,12,2,1
SebasGalmarini,0,0,12,2,2
SebasGalmarini,0,0,12,2,3
SebasGalmarini,0,0,12,2,4
SebasGalmarini,77,94,12,2,5
SebasGalmarini,0,0,12,2,6
SebasGalmarini,0,0,12,2,7
SebasGalmarini,0,0,12,2,8
SebasGalmarini,34,67,12,2,9
SebasGalmarini,0,0,12,2,10
SebasGalmarini,0,0,12,2,11
SebasGalmarini,0,0,12,2,12
SebasGalmarini,0,0,12,2,13
SebasGalmarini,55,71,12,2,14
SebasGalmarini,0,0,12,2,15
SebasGalmarini,99,412,12,2,16
SebasGalmarini,0,0,12,2,17
SebasGalmarini,0,0,12,2,18
SebasGalmarini,0,0,12,2,19
SebasGalmarini,0,0,12,2,20
SebasGalmarini,0,0,12,2,21
SebasGalmarini,0,0,12,2,22
SebasGalmarini,0,0,12,2,23
SebasGalmarini,0,0,1,3,0
SebasGalmarini,0,0,1,3,1
SebasGalmarini,0,0,1,3,2
SebasGalmarini,0,0,1,3,3
SebasGalmarini,0,0,1,3,4
SebasGalmarini,0,0,1,3,5
SebasGalmarini,0,0,1,3,6
SebasGalmarini,0,0,1,3,7
SebasGalmarini,0,0,1,3,8
SebasGalmarini,35,50,1,3,9
SebasGalmarini,151,182,1,3,10
SebasGalmarini,0,0,1,3,11
SebasGalmarini,0,0,1,3,12
SebasGalmarini,0,0,1,3,13
SebasGalmarini,42,56,1,3,14
SebasGalmarini,13,22,1,3,15
SebasGalmarini,78,101,1,3,16
SebasGalmarini,0,0,1,3,17
SebasGalmarini,0,0,1,3,18
SebasGalmarini,0,0,1,3,19
SebasGalmarini,2,10,1,3,20
SebasGalmarini,141,143,1,3,21
SebasGalmarini,0,0,1,3,22
SebasGalmarini,0,0,1,3,23
SebasGalmarini,0,0,2,3,0
SebasGalmarini,0,0,2,3,1
SebasGalmarini,0,0,2,3,2
SebasGalmarini,0,0,2,3,3
SebasGalmarini,0,0,2,3,4
SebasGalmarini,5,7,2,3,5
SebasGalmarini,0,0,2,3,6
SebasGalmarini,13,57,2,3,7
SebasGalmarini,0,0,2,3,8
SebasGalmarini,0,0,2,3,9
SebasGalmarini,0,0,2,3,10
SebasGalmarini,52,50,2,3,11
SebasGalmarini,0,0,2,3,12
SebasGalmarini,0,0,2,3,13
SebasGalmarini,0,0,2,3,14
SebasGalmarini,0,0,2,3,15
SebasGalmarini,0,0,2,3,16
SebasGalmarini,0,0,2,3,17
SebasGalmarini,17,24,2,3,18
SebasGalmarini,0,0,2,3,19
SebasGalmarini,0,0,2,3,20
SebasGalmarini,0,0,2,3,21
SebasGalmarini,0,0,2,3,22
SebasGalmarini,0,0,2,3,23
SebasGalmarini,0,0,3,3,0
SebasGalmarini,0,0,3,3,1
SebasGalmarini,0,0,3,3,2
SebasGalmarini,0,0,3,3,3
SebasGalmarini,0,0,3,3,4
SebasGalmarini,2,8,3,3,5
SebasGalmarini,0,0,3,3,6
SebasGalmarini,0,0,3,3,7
SebasGalmarini,0,0,3,3,8
SebasGalmarini,0,0,3,3,9
SebasGalmarini,0,0,3,3,10
SebasGalmarini,0,0,3,3,11
SebasGalmarini,0,0,3,3,12
SebasGalmarini,48,49,3,3,13
SebasGalmarini,0,0,3,3,14
SebasGalmarini,96,117,3,3,15
SebasGalmarini,46,32,3,3,16
SebasGalmarini,0,0,3,3,17
SebasGalmarini,0,0,3,3,18
SebasGalmarini,101,153,3,3,19
SebasGalmarini,2,13,3,3,20
SebasGalmarini,0,0,3,3,21
SebasGalmarini,0,0,3,3,22
